sid,date,open_value,high,low,close_value,volume
106,1/2/2019,52.959999,54.34,52.009998,54.220001,2221500
106,1/3/2019,53.689999,53.77,51.009998,51.040001,2316200
106,1/4/2019,51.450001,54.299999,51.450001,53.919998,3208200
106,1/7/2019,53.740002,55.490002,53.740002,55.240002,2192900
106,1/8/2019,55.790001,57.360001,55.57,57.169998,2866800
106,1/9/2019,56.900002,58.110001,56.630001,57.84,3060300
106,1/10/2019,57.240002,57.860001,55.810001,57.560001,2092200
106,1/11/2019,57.330002,57.389999,55.77,56.02,2431500
106,1/14/2019,55.48,56.080002,55,55.759998,1322100
106,1/15/2019,55.869999,56.779999,55.77,56.75,1575900
106,1/16/2019,56.759998,57.470001,56.27,56.900002,1444600
106,1/17/2019,56.369999,58.799999,56.34,58.450001,2137700
106,1/18/2019,58.68,59.43,58.349998,59.040001,1639200
106,1/22/2019,58.75,59.189999,54.810001,55.310001,2335600
106,1/23/2019,55.650002,56.25,54.639999,55.580002,1604600
106,1/24/2019,55.700001,57.330002,55.700001,56.689999,1492700
106,1/25/2019,57.240002,57.689999,56.77,57.23,1228600
106,1/28/2019,56.470001,57.16,56.150002,56.790001,1485300
106,1/29/2019,56.799999,57.049999,55.43,56.34,1360400
106,1/30/2019,56.759998,57.200001,55.779999,57.110001,1319600
106,1/31/2019,57.110001,58.330002,56.709999,57.380001,1290100
106,2/1/2019,57.09,58.02,57.060001,57.619999,1625200
106,2/4/2019,57.93,59.07,57.369999,57.619999,2213100
106,2/5/2019,57.529999,60.900002,57.529999,59.950001,2993000
106,2/6/2019,59.720001,60.459999,58.650002,59.220001,1859500
106,2/7/2019,58.98,58.98,57.68,58.669998,1492300
106,2/8/2019,58.639999,59.93,58.130001,59.200001,3126100
106,2/11/2019,59.709999,60.669998,59.150002,59.540001,4154700
106,2/12/2019,60.419998,60.700001,59.540001,60.389999,4838300
106,2/13/2019,56.880001,59.110001,55.41,56.939999,9644400
106,2/14/2019,56.34,58.599998,55.900002,57.759998,3153900
106,2/15/2019,57.830002,58.240002,56.439999,56.810001,2549300
106,2/19/2019,56.580002,56.759998,56.080002,56.43,2636600
106,2/20/2019,56.459999,57.509998,55.360001,55.400002,2422200
106,2/21/2019,55.330002,55.919998,54,54.380001,2324300
106,2/22/2019,54.689999,55.439999,53.860001,54.939999,2226700
106,2/25/2019,55.389999,55.720001,52.869999,53.169998,2834400
106,2/26/2019,52.93,53.369999,52.470001,53.240002,1962500
106,2/27/2019,53.049999,54.470001,52.990002,54.130001,1808100
106,2/28/2019,53.799999,54.279999,52.799999,53.169998,2384900
106,3/1/2019,53.619999,53.860001,52.459999,52.540001,2719500
106,3/4/2019,52.900002,52.990002,51.580002,52.700001,2332500
106,3/5/2019,52.720001,53.049999,51.98,52.32,1734000
106,3/6/2019,50,51.439999,48.860001,50.650002,4035100
106,3/7/2019,50.59,51.16,49.98,51.049999,3301600
106,3/8/2019,50.459999,51.080002,50.07,50.91,1844200
106,3/11/2019,50.84,51.830002,50.650002,51.810001,1225000
106,3/12/2019,51.98,52.07,50.41,51.299999,2299300
106,3/13/2019,51.5,52.18,51.200001,52.130001,2123600
106,3/14/2019,52.029999,52.380001,51.220001,51.709999,1185600
106,3/15/2019,51.830002,52.220001,51.389999,51.59,2272600
106,3/18/2019,51.57,51.790001,50.73,51.32,1163000
106,3/19/2019,51.689999,51.900002,50.950001,51.16,1138000
106,3/20/2019,51.080002,52.119999,50.919998,51.779999,1113000
106,3/21/2019,51.52,52.43,51.25,52.330002,802500
106,3/22/2019,52.18,52.380001,50.630001,50.75,1753600
106,3/25/2019,50.619999,51.169998,50.099998,50.779999,1426900
106,3/26/2019,51.259998,51.810001,50.77,50.919998,1046200
106,3/27/2019,51.049999,51.400002,50.07,50.689999,1911500
106,3/28/2019,50.599998,51.310001,50.41,51.23,1263000
106,3/29/2019,51.619999,52,51.060001,51.450001,1380900
