sid,dat,open_value,high,low,close_value,volume
104,1/2/2019,28.26,28.99,27.870001,28.809999,15053700
104,1/3/2019,28.379999,29.18,27.940001,27.99,19051700
104,1/4/2019,28.389999,30.1,28.309999,29.950001,23412600
104,1/7/2019,30.200001,31.379999,29.77,31.34,19917800
104,1/8/2019,31.700001,32.049999,30.91,31.799999,18915200
104,1/9/2019,31.799999,32.400002,31.540001,32.25,14554400
104,1/10/2019,33.080002,33.5,32.259998,33.09,30504500
104,1/11/2019,32.849998,33.200001,32.43,32.869999,17732300
104,1/14/2019,32.380001,32.75,32.119999,32.369999,9523000
104,1/15/2019,32.509998,33.349998,32.450001,33.02,13548200
104,1/16/2019,33.099998,33.299999,32.439999,32.470001,10130200
104,1/17/2019,32.470001,33.09,32.389999,32.849998,12059700
104,1/18/2019,33.049999,33.889999,32.77,33.27,16776800
104,1/22/2019,32.970001,33.349998,31.93,32.25,17780800
104,1/23/2019,32.259998,32.450001,30.719999,30.969999,21084400
104,1/24/2019,30.940001,31.73,30.91,31.610001,12470400
104,1/25/2019,31.99,33.619999,31.98,32.900002,22513700
104,1/28/2019,32.650002,33.200001,32.119999,33.130001,21750800
104,1/29/2019,33.330002,33.549999,31.459999,31.639999,18849800
104,1/30/2019,32.040001,32.380001,31.42,32.259998,17142500
104,1/31/2019,33.07,33.689999,32.790001,33.560001,21211300
104,2/1/2019,33.560001,34.09,32.959999,33.189999,18816600
104,2/4/2019,33.34,34.18,33.240002,33.939999,14244100
104,2/5/2019,34.290001,34.57,33.919998,34.369999,17610200
104,2/6/2019,35.049999,35.25,33.75,34.16,34058000
104,2/7/2019,31.17,31.73,30.309999,30.799999,69764100
104,2/8/2019,30.469999,30.74,29.42,30.01,40669800
104,2/11/2019,30.17,30.440001,29.66,30.23,28838200
104,2/12/2019,30.440001,30.799999,30.23,30.389999,20315300
104,2/13/2019,30.57,31.84,30.549999,31.120001,29683300
104,2/14/2019,30.860001,31.280001,30.6,30.959999,15321100
104,2/15/2019,31.200001,31.799999,30.969999,31.23,17591500
104,2/19/2019,31.23,32.110001,31.15,31.65,14391700
104,2/20/2019,31.709999,31.93,31.209999,31.370001,16871100
104,2/21/2019,31.360001,31.48,30.6,30.76,13944900
104,2/22/2019,30.809999,31.73,30.809999,31.709999,15413400
104,2/25/2019,31.99,32.709999,31.879999,31.99,15061300
104,2/26/2019,31.889999,31.959999,30.99,31.01,17519100
104,2/27/2019,30.950001,31,29.9,30.41,24639100
104,2/28/2019,30.25,30.790001,30.01,30.780001,15242900
104,3/1/2019,31.17,31.190001,30.280001,30.620001,12360700
104,3/4/2019,30.780001,31.26,30.07,30.5,15920400
104,3/5/2019,30.5,31.23,30.389999,31.030001,13073500
104,3/6/2019,30.940001,31.34,30.59,30.799999,10938600
104,3/7/2019,30.76,30.84,30.01,30.120001,15779900
104,3/8/2019,29.639999,30.209999,29.41,30.040001,11964300
104,3/11/2019,30.24,30.91,30.24,30.870001,16013200
104,3/12/2019,31.15,31.41,30.889999,31.16,12324300
104,3/13/2019,31.309999,31.48,31.040001,31.299999,10201300
104,3/14/2019,31.280001,31.549999,30.940001,31.030001,12090600
104,3/15/2019,31.040001,31.41,30.709999,31.219999,17522700
104,3/18/2019,31.25,31.58,30.84,31.08,13172600
104,3/19/2019,31.15,31.5,30.879999,31.27,15557400
104,3/20/2019,31.24,32.650002,31.16,32.57,22373800
104,3/21/2019,32.310001,32.689999,32.029999,32.610001,13346900
104,3/22/2019,32.5,34.209999,32.34,33.02,28034700
104,3/25/2019,32.830002,33.299999,32.279999,32.59,15272300
104,3/26/2019,32.98,33.860001,32.919998,33.060001,17252300
104,3/27/2019,32.93,33.450001,31.950001,32.279999,13669400
104,3/28/2019,32.290001,32.93,31.73,32.869999,17750600
104,3/29/2019,33.099998,33.240002,32.470001,32.880001,13529300
104,4/1/2019,33.16,33.68,32.700001,33.439999,12499700
104,4/2/2019,33.439999,33.889999,33.23,33.75,11638000
104,4/3/2019,34,34.759998,33.810001,34.380001,18041000
104,4/4/2019,34.700001,35.139999,33.900002,34.419998,14604100
104,4/5/2019,34.549999,34.799999,34.369999,34.720001,9571700
104,4/8/2019,34.790001,35.060001,34.509998,34.860001,10655000
104,4/9/2019,34.84,35.389999,34.810001,35.139999,13889700
104,4/10/2019,35.259998,35.27,34.509998,34.75,11648800
104,4/11/2019,34.75,34.869999,34.41,34.580002,10982700
104,4/12/2019,34.669998,34.830002,34.110001,34.369999,12713800
104,4/15/2019,34.380001,35.029999,34.34,34.709999,10248400
104,4/16/2019,34.84,34.990002,34.23,34.459999,9396300
104,4/17/2019,34.73,34.900002,34.200001,34.48,9023000
104,4/18/2019,34.669998,34.860001,34.32,34.400002,9806100
104,4/22/2019,34.400002,34.619999,33.82,34.389999,19704300
104,4/23/2019,36.93,40.529999,36.91,39.77,104262500
104,4/24/2019,39.860001,39.950001,38.799999,39.290001,30266900
104,4/25/2019,39.259998,40.130001,38.189999,38.48,26044800
104,4/26/2019,38.59,39.34,38.18,38.669998,15270500
104,4/29/2019,38.630001,39.970001,38.630001,39.779999,19680000
104,4/30/2019,39.790001,40.919998,39.650002,39.91,22912000
104,5/1/2019,40,40.07,39.259998,39.290001,14962600
104,5/2/2019,39.240002,40,38.84,39.950001,13419100
104,5/3/2019,40.48,40.82,39.959999,40.799999,15577100
104,5/6/2019,39.689999,40.439999,39.450001,40.23,14517400
