sid,dat,open_value,high,low,close_value,volume
108,1/2/2019,69.43,71.510002,68.239998,69.980003,587900
108,1/3/2019,69.010002,69.769997,66.940002,68.129997,476100
108,1/4/2019,69.809998,73.43,69.639999,73.279999,686500
108,1/7/2019,72.900002,75.730003,71.07,75.349998,551800
108,1/8/2019,76.739998,78.220001,75.68,77.919998,631100
108,1/9/2019,78.330002,78.510002,76.080002,77.029999,648800
108,1/10/2019,76.349998,78.269997,76.150002,77.779999,440900
108,1/11/2019,77,78.720001,76.220001,78.620003,400300
108,1/14/2019,78.040001,79.75,77.339996,78.510002,493500
108,1/15/2019,78.760002,78.790001,77.559998,77.980003,279300
108,1/16/2019,77.949997,80.160004,77.949997,80,464300
108,1/17/2019,79.599998,81.970001,79.599998,81.449997,637500
108,1/18/2019,82.5,84.169998,81.949997,83.769997,478300
108,1/22/2019,83.349998,83.830002,80.839996,81.050003,709400
108,1/23/2019,81.5,82.18,80,81.300003,543200
108,1/24/2019,81.209999,84.150002,81.150002,83.349998,377300
108,1/25/2019,84.470001,86.300003,84.419998,85.559998,523100
108,1/28/2019,84.5,87.489998,83.870003,87.209999,422200
108,1/29/2019,87.209999,88.660004,87.209999,87.970001,446100
108,1/30/2019,89.019997,89.019997,86.529999,87.900002,477200
108,1/31/2019,88.080002,89,87.410004,88.540001,468400
108,2/1/2019,88.660004,90.120003,87.870003,90.040001,405800
108,2/4/2019,89.730003,91.639999,89.730003,91.519997,317900
108,2/5/2019,92.269997,93.099998,91.400002,91.970001,378200
108,2/6/2019,91.419998,92.389999,91.150002,91.809998,398100
108,2/7/2019,90.779999,90.839996,89.110001,90.089996,482600
108,2/8/2019,88.970001,90.330002,88.970001,90.019997,375700
108,2/11/2019,90.07,91.349998,89.620003,91.190002,281000
108,2/12/2019,92.209999,93.239998,91.709999,92.860001,211300
108,2/13/2019,93.980003,94.980003,93.260002,93.660004,269300
108,2/14/2019,92.43,93.410004,91.550003,92.790001,380000
108,2/15/2019,93.5,95,93.339996,94.580002,461300
108,2/19/2019,94.129997,95.790001,94.129997,95.260002,300700
108,2/20/2019,95.419998,98.120003,95.239998,97,627200
108,2/21/2019,96.790001,97.519997,95.440002,95.690002,659700
108,2/22/2019,96.400002,98.879997,96.400002,98.809998,441600
108,2/25/2019,99.610001,99.739998,98.150002,98.839996,487600
108,2/26/2019,98,98.889999,96.230003,96.459999,635600
108,2/27/2019,96.010002,98.57,95.330002,97.580002,514200
108,2/28/2019,103.360001,103.57,93.129997,97.339996,1070700
108,3/1/2019,98.510002,101.260002,98.25,100.800003,587000
108,3/4/2019,100.970001,102.349998,98.68,101.18,837300
108,3/5/2019,101.269997,101.389999,98.699997,98.730003,447100
108,3/6/2019,98.730003,100.379997,98.230003,98.75,459500
108,3/7/2019,98.330002,98.620003,95.790001,96,506600
108,3/8/2019,95.269997,96.849998,95.010002,96.699997,378700
108,3/11/2019,97.349998,97.809998,94.610001,95.419998,631100
108,3/12/2019,95.540001,96.330002,93.889999,94.400002,501800
108,3/13/2019,94.989998,96.089996,94.290001,94.470001,415500
108,3/14/2019,94.300003,94.870003,93.389999,93.779999,399800
108,3/15/2019,94.199997,95.730003,94.199997,95.040001,979900
108,3/18/2019,95.32,96.459999,94.639999,96.07,297600
108,3/19/2019,96.790001,97.419998,95.169998,95.589996,265500
108,3/20/2019,95.470001,95.830002,93.419998,94.639999,308300
108,3/21/2019,94.370003,97.18,94.370003,96.57,568800
108,3/22/2019,95.660004,95.660004,92.769997,92.779999,264900
108,3/25/2019,92.510002,94.139999,91.730003,92.629997,253400
108,3/26/2019,93.169998,94.440002,92.190002,93.25,238300
108,3/27/2019,93.379997,94.099998,91.349998,93.360001,413000
108,3/28/2019,93.709999,95.660004,93.709999,94.660004,269600
108,3/29/2019,95.410004,96.809998,93.379997,93.5,501900
108,4/1/2019,94.519997,96.900002,93.550003,96.779999,381000
108,4/2/2019,96.730003,97.57,95.900002,97.260002,279800
108,4/3/2019,98.300003,98.709999,96.800003,97.010002,313700
108,4/4/2019,97.190002,98.389999,96.959999,97.540001,264500
108,4/5/2019,98.139999,100.720001,97.620003,100.400002,456600
108,4/8/2019,100.040001,101.370003,99.639999,100.800003,339500
108,4/9/2019,100.419998,100.68,98.660004,99.040001,258800
108,4/10/2019,99.160004,100.18,98.800003,100.160004,359600
108,4/11/2019,100.519997,101.980003,100.279999,101.830002,348000
108,4/12/2019,102.660004,104.580002,102.660004,103.849998,315700
108,4/15/2019,103.910004,104.300003,102.760002,103.919998,255500
108,4/16/2019,104.540001,105.040001,103.68,104.980003,191300
108,4/17/2019,105.5,105.839996,104.07,104.93,301000
108,4/18/2019,104.82,105.650002,103.449997,104.57,233200
108,4/22/2019,104.830002,106.360001,104.739998,106,223300
108,4/23/2019,106.199997,108.739998,105.669998,107.970001,383000
108,4/24/2019,107.970001,108.150002,106.400002,106.459999,380400
108,4/25/2019,106.5,106.919998,102.970001,105.059998,311800
108,4/26/2019,105.330002,105.330002,103.709999,105.169998,556000
108,4/29/2019,105.690002,108.230003,105.07,107.339996,290900
108,4/30/2019,107.07,107.470001,104.190002,105.629997,444600
108,5/1/2019,106.82,107.900002,105.660004,105.849998,263200
108,5/2/2019,105.199997,106.150002,103.120003,104.830002,252800
108,5/3/2019,105.480003,107.330002,105.480003,107.25,416700
108,5/6/2019,105.010002,106.150002,103.57,105.959999,281700
108,5/7/2019,103.18,103.879997,99.309998,100.120003,474700
108,5/8/2019,99.720001,102.839996,99.010002,102.129997,398300
108,5/9/2019,100.739998,100.809998,98.099998,100.410004,502800
108,5/10/2019,99.489998,99.889999,96.209999,98.419998,494500
108,5/13/2019,96.230003,96.230003,94.089996,94.980003,512500
108,5/14/2019,95.480003,98.25,94.75,97.18,389300
108,5/15/2019,96.029999,97.860001,95.110001,97.529999,243100
108,5/16/2019,97.82,99.900002,97.379997,98.769997,197100
108,5/17/2019,97.559998,98.540001,96.43,96.529999,209400
108,5/20/2019,95.209999,96.029999,94.32,95.190002,207600
108,5/21/2019,96.089996,97.220001,95.419998,96.739998,232900
108,5/22/2019,95.809998,96.349998,94.690002,94.769997,225200
108,5/23/2019,93.690002,94.440002,91.730003,92.68,277700
108,5/24/2019,93.669998,94.809998,93.370003,94.099998,198500
108,5/28/2019,94.410004,94.989998,92.449997,92.5,271300
108,5/29/2019,91.620003,92.82,90.879997,92.139999,216000
108,5/30/2019,92.449997,93.309998,91.43,92.139999,182700
108,5/31/2019,90.540001,91.589996,89.580002,89.900002,336800
108,6/3/2019,89.550003,90.019997,87.910004,88.660004,427700
108,6/4/2019,89.769997,93.910004,89.760002,93.75,265100
108,6/5/2019,94.379997,94.730003,91.010002,92.440002,275400
108,6/6/2019,92.010002,92.470001,90.129997,90.790001,340900
108,6/7/2019,91.339996,95.120003,91.230003,93.440002,319800
108,6/10/2019,94.050003,98.330002,94.050003,97.980003,479700
108,6/11/2019,99.059998,101.040001,97,97.82,267700
108,6/12/2019,97.349998,98.410004,96.690002,97.699997,177200
108,6/13/2019,98.32,98.910004,96.900002,97.43,207700
108,6/14/2019,97.309998,98.580002,96.110001,97.75,188500
108,6/17/2019,97.769997,99.480003,96.889999,97.269997,372800
108,6/18/2019,98.050003,100.449997,97.839996,98.690002,293500
108,6/19/2019,98.870003,98.980003,96.489998,97.010002,300800
108,6/20/2019,98.449997,98.449997,96.699997,97.190002,288200
108,6/21/2019,96.419998,96.57,95.029999,95.389999,541000
108,6/24/2019,95.309998,96.470001,94.849998,95.019997,323500
108,6/25/2019,95.019997,95.019997,92.480003,92.730003,336300
108,6/26/2019,93.07,93.93,92.790001,93.040001,258500
108,6/27/2019,93.379997,96.68,92.970001,96.5,299400
108,6/28/2019,96.669998,97.959999,95.989998,96.400002,1738300
108,7/1/2019,99.300003,99.300003,96.220001,97.190002,277800
108,7/2/2019,96.860001,97.889999,96.480003,97.870003,259900
108,7/3/2019,98.230003,99.550003,97.690002,98.660004,158700
108,7/5/2019,97.940002,98.830002,97.150002,98.690002,147900
