sid,dat,open_value,high,low,close_value,volume
971,1/2/2019,34.189999,35.02,33.779999,34.57,1558800
971,1/3/2019,34.25,34.66,33.5,33.639999,1338100
971,1/4/2019,34.27,35.099998,34.02,34.560001,3586200
971,1/7/2019,34.639999,35.060001,34.400002,34.830002,1568300
971,1/8/2019,35.200001,35.700001,35.009998,35.509998,1173400
971,1/9/2019,35.860001,36.139999,35.330002,35.700001,1181100
971,1/10/2019,32.919998,34.32,32.84,34.310001,2982400
971,1/11/2019,34.369999,35.130001,34.150002,34.5,1925100
971,1/14/2019,34.150002,34.880001,33.98,34.48,2009600
971,1/15/2019,34.580002,35.07,34,34.970001,1671500
971,1/16/2019,36.110001,36.830002,35.080002,35.75,2999400
971,1/17/2019,35.68,36.52,35.650002,36.23,1295600
971,1/18/2019,36.490002,36.75,35.91,36.27,1970400
971,1/22/2019,35.84,36.32,35.119999,35.369999,1015100
971,1/23/2019,35.619999,36.27,35.200001,35.470001,1247000
971,1/24/2019,35.459999,36.41,35.330002,35.84,972000
971,1/25/2019,36.16,37.23,35.860001,37.060001,1095900
971,1/28/2019,36.689999,37.049999,36.380001,36.700001,968700
971,1/29/2019,36.93,37.299999,36.16,36.220001,1681100
971,1/30/2019,36.66,36.66,35.849998,36.450001,1582800
971,1/31/2019,36.59,36.98,36.099998,36.419998,1342600
971,2/1/2019,36.560001,37.470001,36.299999,37.169998,1278300
971,2/4/2019,37.580002,38.200001,37.029999,37.830002,2355000
971,2/5/2019,37.98,38.09,37.360001,37.43,1013000
971,2/6/2019,37.27,39,37.110001,37.139999,3723200
971,2/7/2019,36.759998,36.759998,35.950001,36.25,2569900
971,2/8/2019,35.990002,38.18,35.990002,37.98,2783500
971,2/11/2019,38.009998,38.560001,37.5,37.900002,2497700
971,2/12/2019,38.099998,39.09,38.099998,38.889999,1751600
971,2/13/2019,39,39.209999,38.389999,38.459999,4778300
971,2/14/2019,39,39,36.869999,38.189999,10195900
971,2/15/2019,38.549999,40.779999,38.119999,39.939999,4717700
971,2/19/2019,39.720001,40.490002,39.630001,39.700001,1908600
971,2/20/2019,39.66,40,38.669998,38.75,1476500
971,2/21/2019,38.75,38.75,37.84,37.990002,1456800
971,2/22/2019,38.139999,38.75,37.939999,38.540001,1949400
971,2/25/2019,38.669998,39.439999,38.380001,38.419998,1507500
971,2/26/2019,38.349998,38.380001,37.810001,37.900002,2287300
971,2/27/2019,37.799999,38.209999,37.509998,37.709999,1773400
971,2/28/2019,37.77,37.919998,37.200001,37.259998,1813500
971,3/1/2019,37.779999,38.049999,37.029999,37.130001,1688300
971,3/4/2019,37.220001,37.310001,36,36.740002,2549900
971,3/5/2019,36.810001,36.98,36.540001,36.540001,1924700
971,3/6/2019,36.470001,36.75,35.759998,35.93,2212700
971,3/7/2019,35.869999,36.099998,34.740002,34.799999,2020500
971,3/8/2019,34.310001,34.77,34.189999,34.740002,1510900
971,3/11/2019,34.970001,35.91,34.630001,35.709999,2007400
971,3/12/2019,35.759998,35.919998,34.889999,35.049999,1765000
971,3/13/2019,35.18,35.380001,34.509998,34.549999,1898500
971,3/14/2019,34.529999,34.990002,34.259998,34.639999,1502300
971,3/15/2019,34.700001,35.59,34.700001,35.099998,1985300
971,3/18/2019,35.099998,35.48,34.759998,34.880001,1311500
971,3/19/2019,34.950001,35.09,34.560001,34.700001,1014800
971,3/20/2019,34.610001,35.110001,34.470001,34.599998,1264900
971,3/21/2019,34.310001,34.939999,34.310001,34.889999,1458400
971,3/22/2019,34.689999,35.57,34.360001,34.360001,1707100
971,3/25/2019,34.200001,34.880001,34.049999,34.709999,1152100
971,3/26/2019,34.98,35.389999,34.720001,34.880001,1044600
971,3/27/2019,34.799999,34.939999,34.169998,34.439999,1222200
971,3/28/2019,34.48,34.93,34.380001,34.68,933500
971,3/29/2019,35.009998,35.119999,34.419998,34.5,1226800
971,4/1/2019,34.900002,35.290001,34.689999,35.029999,1482800
971,4/2/2019,35.060001,35.450001,34.91,35.360001,1071700
971,4/3/2019,35.599998,36.119999,35.59,35.68,1089100
971,4/4/2019,35.68,35.939999,34.610001,35.189999,1326600
971,4/5/2019,35.07,35.73,35.07,35.400002,979400
971,4/8/2019,35.259998,35.43,34.880001,35.299999,818800
971,4/9/2019,35.23,35.630001,35.169998,35.5,828200
971,4/10/2019,35.540001,36.389999,35.279999,35.900002,1310500
971,4/11/2019,35.860001,36.16,35.599998,35.720001,1054400
971,4/12/2019,35.900002,36.099998,35.419998,35.580002,1040100
971,4/15/2019,35.5,35.849998,35.029999,35.419998,932700
971,4/16/2019,35.580002,35.939999,35.450001,35.59,1172300
971,4/17/2019,35.830002,36.200001,35.349998,35.650002,939900
971,4/18/2019,35.939999,36.189999,35.5,36,821500
971,4/22/2019,35.919998,37.07,35.91,36.950001,1333000
971,4/23/2019,37.049999,38.34,37.049999,38.119999,1791300
971,4/24/2019,38,38.509998,37.93,38.040001,1363400
971,4/25/2019,38.07,39.52,38.049999,39.509998,2225500
971,4/26/2019,39.509998,39.759998,39.25,39.52,1145500
971,4/29/2019,39.650002,40.23,39.650002,40.060001,1205900
971,4/30/2019,40.060001,40.439999,39.75,40.060001,1052500
971,5/1/2019,40.060001,40.27,39.630001,39.639999,694500
971,5/2/2019,39.610001,40.27,39.32,40.189999,917200
971,5/3/2019,40.41,40.990002,40.299999,40.98,1038000
971,5/6/2019,40.110001,40.860001,40.009998,40.73,1105000
