date,1. open,2. high,3. low,4. close,5. volume
3/26/2020 16:00,19.8,19.81,19.72,19.79,42789
3/26/2020 15:59,19.75,19.8,19.69,19.78,35638
3/26/2020 15:58,19.82,19.83,19.68,19.74,34260
3/26/2020 15:57,19.79,19.84,19.745,19.8,40478
3/26/2020 15:56,19.82,19.87,19.74,19.795,47426
3/26/2020 15:55,19.49,19.86,19.46,19.8,49773
3/26/2020 15:54,19.48,19.545,19.42,19.5,28118
3/26/2020 15:53,19.54,19.57,19.39,19.47,33694
3/26/2020 15:52,19.53,19.54,19.48,19.54,26801
3/26/2020 15:51,19.49,19.53,19.38,19.53,43315
3/26/2020 15:50,19.52,19.53,19.46,19.475,22085
3/26/2020 15:49,19.44,19.52,19.43,19.5,15942
3/26/2020 15:48,19.49,19.49,19.37,19.425,16965
3/26/2020 15:47,19.47,19.54,19.47,19.5,18752
3/26/2020 15:46,19.47,19.53,19.42,19.45,13288
3/26/2020 15:45,19.455,19.54,19.43,19.485,13758
3/26/2020 15:44,19.41,19.46,19.395,19.46,15850
3/26/2020 15:43,19.28,19.4,19.23,19.4,10861
3/26/2020 15:42,19.33,19.335,19.245,19.28,17397
3/26/2020 15:41,19.2,19.3588,19.2,19.33,11987
3/26/2020 15:40,19.07,19.18,19.04,19.17,18950
3/26/2020 15:39,19.275,19.28,19.05,19.09,26474
3/26/2020 15:38,19.3,19.32,19.27,19.275,18373
3/26/2020 15:37,19.34,19.36,19.29,19.29,15077
3/26/2020 15:36,19.36,19.38,19.32,19.335,8396
3/26/2020 15:35,19.4,19.41,19.34,19.36,7043
3/26/2020 15:34,19.43,19.445,19.355,19.39,19470
3/26/2020 15:33,19.545,19.545,19.44,19.44,10890
3/26/2020 15:32,19.61,19.62,19.55,19.56,8541
3/26/2020 15:31,19.59,19.61,19.57,19.61,8985
3/26/2020 15:30,19.62,19.65,19.58,19.59,5881
3/26/2020 15:29,19.61,19.64,19.6,19.6,5780
3/26/2020 15:28,19.6,19.66,19.58,19.62,9403
3/26/2020 15:27,19.54,19.63,19.53,19.6,6287
3/26/2020 15:26,19.51,19.54,19.49,19.52,10392
3/26/2020 15:25,19.54,19.54,19.51,19.53,3122
3/26/2020 15:24,19.57,19.58,19.54,19.55,6016
3/26/2020 15:23,19.545,19.61,19.515,19.57,8775
3/26/2020 15:22,19.57,19.57,19.51,19.54,11881
3/26/2020 15:21,19.555,19.58,19.55,19.56,7446
3/26/2020 15:20,19.61,19.63,19.55,19.56,8608
3/26/2020 15:19,19.59,19.61,19.58,19.61,4899
3/26/2020 15:18,19.63,19.63,19.56,19.58,9820
3/26/2020 15:17,19.64,19.67,19.59,19.63,6796
3/26/2020 15:16,19.635,19.64,19.61,19.64,4854
3/26/2020 15:15,19.75,19.76,19.55,19.61,39706
3/26/2020 15:14,19.82,19.82,19.74,19.74,4071
3/26/2020 15:13,19.9,19.9,19.82,19.83,7110
3/26/2020 15:12,19.9,19.92,19.86,19.91,11132
3/26/2020 15:11,19.94,19.94,19.895,19.91,5741
3/26/2020 15:10,19.86,19.94,19.86,19.94,13174
3/26/2020 15:09,19.78,19.865,19.78,19.86,7460
3/26/2020 15:08,19.77,19.79,19.73,19.76,6709
3/26/2020 15:07,19.77,19.81,19.77,19.78,7438
3/26/2020 15:06,19.7,19.765,19.7,19.76,12885
3/26/2020 15:05,19.7,19.73,19.67,19.7,6790
3/26/2020 15:04,19.73,19.73,19.68,19.685,4155
3/26/2020 15:03,19.7,19.75,19.68,19.74,4754
3/26/2020 15:02,19.685,19.73,19.64,19.69,5007
3/26/2020 15:01,19.64,19.7,19.63,19.69,7566
3/26/2020 15:00,19.68,19.7,19.64,19.64,6446
3/26/2020 14:59,19.7,19.72,19.68,19.68,3604
3/26/2020 14:58,19.74,19.75,19.7,19.72,4883
3/26/2020 14:57,19.65,19.71,19.64,19.71,4397
3/26/2020 14:56,19.67,19.67,19.63,19.63,6057
3/26/2020 14:55,19.67,19.69,19.66,19.69,3494
3/26/2020 14:54,19.755,19.755,19.69,19.69,5627
3/26/2020 14:53,19.74,19.77,19.74,19.74,5486
3/26/2020 14:52,19.71,19.74,19.7,19.735,5354
3/26/2020 14:51,19.71,19.74,19.7,19.74,3719
3/26/2020 14:50,19.7,19.75,19.7,19.72,5666
3/26/2020 14:49,19.77,19.77,19.68,19.7,4301
3/26/2020 14:48,19.77,19.79,19.76,19.765,4056
3/26/2020 14:47,19.76,19.7981,19.74,19.77,3130
3/26/2020 14:46,19.73,19.78,19.72,19.78,4814
3/26/2020 14:45,19.78,19.78,19.72,19.74,5070
3/26/2020 14:44,19.79,19.8123,19.77,19.77,4918
3/26/2020 14:43,19.799,19.8,19.74,19.76,4345
