date,1. open,2. high,3. low,4. close,5. volume
3/26/2020 16:00,60.5,61.69,60.5,61.24,37587
3/26/2020 15:59,61.345,61.345,60.37,60.495,24076
3/26/2020 15:58,61.87,61.87,61.34,61.34,11150
3/26/2020 15:57,61.98,62.04,61.625,61.785,5404
3/26/2020 15:56,62.2,62.2,61.7,61.88,8774
3/26/2020 15:55,61.69,62.24,61.445,62.24,4526
3/26/2020 15:54,61.19,61.7,61.02,61.7,3819
3/26/2020 15:53,60.755,61.4,60.755,61.19,7010
3/26/2020 15:52,61.01,61.08,60.58,60.975,8746
3/26/2020 15:51,60.25,61.16,60.25,61.1,11069
3/26/2020 15:50,60.35,60.35,59.99,60.21,4701
3/26/2020 15:49,60.03,60.36,59.96,60.36,3366
3/26/2020 15:48,59.93,60.09,59.88,59.97,3711
3/26/2020 15:47,60.06,60.06,59.86,59.87,1124
3/26/2020 15:46,60.22,60.22,59.8,60.03,2460
3/26/2020 15:45,60.38,60.38,60.185,60.2015,1621
3/26/2020 15:44,60.14,60.32,59.96,60.32,3103
3/26/2020 15:43,60,60.17,60,60.17,1416
3/26/2020 15:42,60.06,60.06,59.84,59.97,1521
3/26/2020 15:41,59.65,60.02,59.65,60.01,1355
3/26/2020 15:40,59.57,59.57,59.37,59.37,2391
3/26/2020 15:39,60.17,60.17,59.7,59.7,3676
3/26/2020 15:38,60.44,60.44,60.08,60.13,1853
3/26/2020 15:37,60.55,60.65,60.38,60.38,2067
3/26/2020 15:36,60.39,60.59,60.37,60.57,4362
3/26/2020 15:35,60.23,60.24,60.06,60.22,2310
3/26/2020 15:34,60.03,60.17,59.91,60.17,1839
3/26/2020 15:33,60.07,60.38,59.99,60.02,4482
3/26/2020 15:32,60.21,60.295,59.91,59.945,6346
3/26/2020 15:31,60.24,60.35,60.24,60.28,1128
3/26/2020 15:30,60.175,60.22,60.175,60.21,901
3/26/2020 15:29,60.46,60.46,60.17,60.29,2547
3/26/2020 15:28,60.3,60.37,60.15,60.37,1182
3/26/2020 15:27,60.17,60.21,59.96,60.16,3292
3/26/2020 15:26,60.18,60.26,59.88,59.88,2220
3/26/2020 15:25,60.32,60.34,60.27,60.28,828
3/26/2020 15:24,60.61,60.61,60.37,60.37,1348
3/26/2020 15:23,60.66,60.72,60.63,60.72,1801
3/26/2020 15:22,60.82,60.82,60.57,60.58,2138
3/26/2020 15:21,61,61,60.83,60.85,1306
3/26/2020 15:20,60.79,60.8,60.7,60.745,1282
3/26/2020 15:19,60.5,60.79,60.49,60.79,2546
3/26/2020 15:18,60.73,60.73,60.37,60.46,1989
3/26/2020 15:17,60.58,60.68,60.57,60.665,787
3/26/2020 15:16,60.72,60.78,60.65,60.65,1450
3/26/2020 15:15,60.68,60.92,60.68,60.78,2229
3/26/2020 15:14,60.5825,60.67,60.58,60.67,908
3/26/2020 15:13,60.65,60.65,60.65,60.65,739
3/26/2020 15:12,60.41,60.78,60.41,60.56,4163
3/26/2020 15:11,60.495,60.495,60.38,60.38,1076
3/26/2020 15:10,60.66,60.66,60.66,60.66,574
3/26/2020 15:09,60.44,60.76,60.42,60.76,3777
3/26/2020 15:08,60.23,60.31,60.23,60.285,530
3/26/2020 15:07,60.24,60.29,60.21,60.26,1533
3/26/2020 15:06,60.38,60.38,60.38,60.38,280
3/26/2020 15:05,60.55,60.56,60.39,60.39,1161
3/26/2020 15:04,60.54,60.69,60.52,60.52,1716
3/26/2020 15:03,60.745,60.745,60.745,60.745,348
3/26/2020 15:02,60.76,60.86,60.66,60.69,2480
3/26/2020 15:01,60.79,60.79,60.67,60.755,1206
3/26/2020 15:00,60.82,60.96,60.795,60.795,1610
3/26/2020 14:59,60.85,60.99,60.85,60.99,700
3/26/2020 14:58,60.59,60.7222,60.48,60.62,2113
3/26/2020 14:57,60.44,60.75,60.44,60.75,1905
3/26/2020 14:56,60.23,60.3,60.185,60.3,1003
3/26/2020 14:55,60.88,60.88,60.6302,60.6302,1456
3/26/2020 14:54,61.02,61.02,60.765,60.8501,1564
3/26/2020 14:53,61.2599,61.2599,61.11,61.11,273
3/26/2020 14:52,60.78,60.895,60.65,60.895,1715
3/26/2020 14:51,60.83,60.83,60.83,60.83,306
3/26/2020 14:50,61.1,61.27,60.8,60.8,1918
3/26/2020 14:49,61.1,61.1,61.1,61.1,350
3/26/2020 14:48,61.4475,61.4475,61.4475,61.4475,528
3/26/2020 14:47,61.41,61.42,61.33,61.35,1425
3/26/2020 14:46,61.52,61.53,61.52,61.53,432
3/26/2020 14:45,61.62,61.62,61.305,61.305,1401
3/26/2020 14:44,61.67,61.76,61.49,61.76,2229
3/26/2020 14:43,61.57,61.725,61.4,61.6,7424
