date,1. open,2. high,3. low,4. close,5. volume
3/26/2020 16:00,21.73,21.81,21.72,21.79,42593
3/26/2020 15:59,21.74,21.79,21.7,21.71,20960
3/26/2020 15:58,21.71,21.78,21.71,21.74,18221
3/26/2020 15:57,21.74,21.76,21.69,21.71,10761
3/26/2020 15:56,21.77,21.8,21.74,21.75,28225
3/26/2020 15:55,21.74,21.79,21.72,21.76,12600
3/26/2020 15:54,21.755,21.77,21.69,21.75,10881
3/26/2020 15:53,21.755,21.78,21.72,21.75,12646
3/26/2020 15:52,21.62,21.76,21.62,21.73,9407
3/26/2020 15:51,21.62,21.765,21.59,21.6,30546
3/26/2020 15:50,21.61,21.655,21.6,21.6143,7482
3/26/2020 15:49,21.65,21.655,21.6,21.6,2678
3/26/2020 15:48,21.69,21.69,21.64,21.665,5120
3/26/2020 15:47,21.665,21.71,21.665,21.7,2527
3/26/2020 15:46,21.825,21.84,21.68,21.68,5005
3/26/2020 15:45,21.81,21.84,21.81,21.835,2430
3/26/2020 15:44,21.8,21.81,21.765,21.81,3213
3/26/2020 15:43,21.73,21.8,21.72,21.79,3609
3/26/2020 15:42,21.74,21.75,21.69,21.74,5694
3/26/2020 15:41,21.6,21.75,21.6,21.74,6516
3/26/2020 15:40,21.61,21.61,21.5899,21.59,2831
3/26/2020 15:39,21.68,21.7,21.59,21.63,2447
3/26/2020 15:38,21.84,21.84,21.71,21.71,5941
3/26/2020 15:37,21.89,21.8999,21.87,21.87,3298
3/26/2020 15:36,21.91,21.91,21.88,21.895,1103
3/26/2020 15:35,21.87,21.9006,21.86,21.9006,1981
3/26/2020 15:34,21.88,21.89,21.87,21.87,1948
3/26/2020 15:33,21.97,21.99,21.9,21.9,4259
3/26/2020 15:32,22.07,22.07,21.985,21.985,10922
3/26/2020 15:31,21.99,22.07,21.99,22.06,5171
3/26/2020 15:30,21.975,21.99,21.975,21.99,425
3/26/2020 15:29,21.98,21.98,21.96,21.98,1138
3/26/2020 15:28,22,22,21.97,21.98,1185
3/26/2020 15:27,21.94,22,21.94,22,1650
3/26/2020 15:26,21.84,21.95,21.82,21.95,4605
3/26/2020 15:25,21.89,21.89,21.87,21.87,453
3/26/2020 15:24,21.96,21.97,21.92,21.92,1060
3/26/2020 15:23,22,22,21.97,21.97,2204
3/26/2020 15:22,22,22.02,21.99,22.01,1861
3/26/2020 15:21,22,22.01,21.98,22,2674
3/26/2020 15:20,21.965,21.98,21.965,21.975,680
3/26/2020 15:19,21.93,21.94,21.93,21.94,459
3/26/2020 15:18,21.93,21.93,21.89,21.89,2622
3/26/2020 15:17,21.925,21.95,21.925,21.95,402
3/26/2020 15:15,21.94,21.98,21.91,21.91,1157
3/26/2020 15:14,22,22,21.925,21.925,2004
3/26/2020 15:13,21.89,22.02,21.87,22,3795
3/26/2020 15:12,21.815,21.86,21.81,21.86,1885
3/26/2020 15:11,21.78,21.81,21.78,21.81,429
3/26/2020 15:10,21.78,21.81,21.75,21.81,710
3/26/2020 15:09,21.72,21.79,21.71,21.79,1402
3/26/2020 15:08,21.7,21.72,21.68,21.72,1069
3/26/2020 15:07,21.78,21.78,21.69,21.6902,1624
3/26/2020 15:06,21.99,21.99,21.69,21.8,16884
3/26/2020 15:05,22,22.02,22,22,11413
3/26/2020 15:04,22.02,22.0203,22,22,9344
3/26/2020 15:03,22,22.03,22,22.01,24490
3/26/2020 15:02,22,22.03,22,22,14546
3/26/2020 15:01,22.01,22.01,22,22.005,2848
3/26/2020 15:00,22.01,22.02,22,22,17526
3/26/2020 14:59,22.02,22.03,22.01,22.03,1602
3/26/2020 14:58,22.04,22.06,22,22.01,4040
3/26/2020 14:57,22.03,22.06,22,22.04,10516
3/26/2020 14:56,22.02,22.03,22,22.015,1879
3/26/2020 14:55,22.035,22.04,22,22,651
3/26/2020 14:54,22.11,22.16,22,22.03,9227
3/26/2020 14:53,22.1,22.1,22.05,22.05,2725
3/26/2020 14:52,22.1,22.1,22.05,22.065,349
3/26/2020 14:51,22.06,22.1,22.04,22.095,2074
3/26/2020 14:50,22.12,22.12,22.06,22.06,1237
3/26/2020 14:49,22.115,22.12,22.06,22.06,946
3/26/2020 14:48,22.07,22.1,22.07,22.1,1254
3/26/2020 14:47,22.04,22.06,22.04,22.0452,1418
3/26/2020 14:46,22.01,22.03,22,22.02,1257
3/26/2020 14:45,22.07,22.1,22.04,22.05,1509
3/26/2020 14:44,22.1,22.13,22.05,22.11,967
3/26/2020 14:43,22.1001,22.105,22.08,22.105,1190
3/26/2020 14:42,22.04,22.1,22.04,22.1,2703
3/26/2020 14:41,22.01,22.03,22.01,22.0117,4663
3/26/2020 14:40,22.03,22.03,22,22,2973
3/26/2020 14:39,22.15,22.15,22.042,22.042,2572
3/26/2020 14:38,22.09,22.11,22.05,22.105,1842
3/26/2020 14:37,22.06,22.06,22.06,22.06,599
3/26/2020 14:36,22.09,22.1,22.04,22.07,3529
3/26/2020 14:35,22.09,22.11,22.09,22.11,220
3/26/2020 14:34,22.21,22.27,22.18,22.18,3740
3/26/2020 14:33,22.2,22.24,22.18,22.1806,3191
3/26/2020 14:32,22.15,22.25,22.15,22.2,2016
3/26/2020 14:31,22.14,22.2,22.14,22.2,902
3/26/2020 14:30,22.105,22.14,22.08,22.08,4144
3/26/2020 14:29,22.14,22.14,22.08,22.08,984
3/26/2020 14:28,22.08,22.14,22.08,22.14,10670
3/26/2020 14:27,22.16,22.18,22.1,22.12,1493
3/26/2020 14:26,22.15,22.18,22.14,22.16,2510
3/26/2020 14:25,22.07,22.2,22.07,22.14,4239
3/26/2020 14:24,22.1,22.1,22.1,22.1,367
3/26/2020 14:23,22.275,22.29,22.095,22.095,6065
3/26/2020 14:22,22.16,22.27,22.13,22.25,5054
3/26/2020 14:21,22.1,22.19,22.1,22.19,3657
3/26/2020 14:20,22.14,22.14,22.12,22.12,1735
